Price,Close,High,Low,Open,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,
2019-07-11,12332.1201171875,12417.9296875,12307.33984375,12401.01953125,78192200
2019-07-12,12323.3203125,12354.8701171875,12304.98046875,12318.5,78381800
2019-07-15,12387.33984375,12434.1396484375,12301.080078125,12346.58984375,70764100
2019-07-16,12430.9697265625,12465.1904296875,12366.9697265625,12392.1904296875,75136100
2019-07-17,12341.0302734375,12453.330078125,12324.330078125,12429.8701171875,72857800
2019-07-18,12227.849609375,12296.2998046875,12172.58984375,12194.330078125,73275500
2019-07-19,12260.0703125,12340.1103515625,12211.669921875,12302.6396484375,77803200
2019-07-22,12289.400390625,12346.01953125,12236.7001953125,12243.580078125,58508700
2019-07-23,12490.740234375,12531.16015625,12369.1904296875,12384.66015625,94402100
2019-07-24,12522.8896484375,12550.33984375,12476.5498046875,12510.51953125,93206200
2019-07-25,12362.099609375,12599.9296875,12299.099609375,12576.01953125,115937000
2019-07-26,12419.900390625,12428.0498046875,12356.150390625,12363.8603515625,71108800
2019-07-29,12417.4697265625,12473.9697265625,12387.580078125,12398.2900390625,64309600
2019-07-30,12147.240234375,12404.509765625,12115.2802734375,12398.240234375,114710200
2019-07-31,12189.0400390625,12226.490234375,12139.0302734375,12149.08984375,91199000
2019-08-01,12253.150390625,12254.0302734375,12129.330078125,12134.7099609375,87758900
2019-08-02,11872.4404296875,12034.91015625,11836.75,12033.6796875,138678400
2019-08-05,11658.509765625,11797.51953125,11628.5703125,11758.4404296875,113784300
2019-08-06,11567.9599609375,11748.830078125,11567.9599609375,11690.26953125,86220300
2019-08-07,11650.150390625,11747.740234375,11559.759765625,11636.33984375,108829300
2019-08-08,11845.41015625,11845.41015625,11683.990234375,11752.9599609375,101153300
2019-08-09,11693.7998046875,11865.6298828125,11674.1103515625,11806.8203125,107173100
2019-08-12,11679.6796875,11836.9697265625,11647.009765625,11801.0595703125,76120900
2019-08-13,11750.1298828125,11835.8798828125,11539.6298828125,11632.849609375,116609400
2019-08-14,11492.66015625,11759.5703125,11459.3701171875,11758.75,106028900
2019-08-15,11412.669921875,11530.009765625,11266.48046875,11522.4599609375,116680900
2019-08-16,11562.740234375,11578.83984375,11447.33984375,11460.650390625,114055600
2019-08-19,11715.3701171875,11759.0,11625.669921875,11679.7197265625,78455800
2019-08-20,11651.1796875,11764.9296875,11618.9296875,11711.7802734375,68833300
2019-08-21,11802.849609375,11824.66015625,11673.3701171875,11673.66015625,62803500
2019-08-22,11747.0400390625,11853.1396484375,11715.259765625,11756.2099609375,74446100
2019-08-23,11611.509765625,11823.1201171875,11611.509765625,11805.48046875,90301100
2019-08-26,11658.0400390625,11696.7802734375,11551.990234375,11619.66015625,54752500
2019-08-27,11730.01953125,11778.6201171875,11616.08984375,11638.509765625,82363700
2019-08-28,11701.01953125,11717.7900390625,11573.6396484375,11704.669921875,59962600
2019-08-29,11838.8798828125,11853.91015625,11661.73046875,11686.83984375,72992700
2019-08-30,11939.2802734375,11989.4404296875,11845.16015625,11850.2998046875,77686500
2019-09-02,11953.7802734375,11994.1103515625,11929.91015625,11939.990234375,46207600
